"","equity.precios.diarios","equity.retornos.diarios","market.precios.diarios","market.retornos.diarios","riskfree.retornos.diarios"
"2012-01-03",399.94,0.00446995603321954,1277.06,0.014457525062358,0.0196
"2012-01-04",402.09,0.00537412153782557,1277.3,0.000187931655521334,0.02
"2012-01-05",406.56,0.0111019736842104,1281.06,0.00294370938698818,0.0199
"2012-01-06",410.81,0.0104537951821639,1277.81,-0.00253696157869265,0.0196
"2012-01-09",410.15,-0.00158617424242413,1280.7,0.00226168209671251,0.0196
"2012-01-10",411.62,0.00358048988689452,1292.08,0.00888576559693899,0.0197
"2012-01-11",410.95,-0.00163028069180604,1292.48,0.00030957835428147,0.019
"2012-01-12",409.82,-0.00274523725002962,1295.5,0.00233659321614255,0.0193
"2012-01-13",408.29,-0.00374949571655703,1289.09,-0.00494789656503292,0.0185
"2012-01-17",413.04,0.0116481265334318,1293.67,0.00355289390189983,0.0185
"2012-01-18",417.33,0.0103838003296446,1308.04,0.0111079332441812,0.019
"2012-01-19",416.01,-0.00316935051618472,1314.5,0.00493868689030919,0.0197
"2012-01-20",408.76,-0.017416715371128,1315.38,0.000669456066945795,0.0203
"2012-01-23",415.68,0.0169164882226982,1316,0.000471346683087681,0.0207
"2012-01-24",408.87,-0.0163777169462577,1314.65,-0.00102583586626137,0.0206
"2012-01-25",434.4,0.0624390475963941,1326.06,0.00867911611455519,0.0201
"2012-01-26",432.43,-0.00454484395289489,1318.43,-0.00575388745607275,0.0193
"2012-01-27",435,0.00596001169511728,1316.33,-0.00159280356181224,0.019
"2012-01-30",440.58,0.0128107673045967,1313.01,-0.00252216389507187,0.0184
"2012-01-31",443.95,0.00765987505794574,1312.41,-0.000456965293485934,0.018
"2012-02-01",443.67,-0.000635296179460232,1324.09,0.00889965788130231,0.0185
"2012-02-02",442.63,-0.00234551393059912,1325.54,0.0010950917233723,0.0183
"2012-02-03",447.06,0.0100193355598523,1344.9,0.0146053683781706,0.0195
"2012-02-06",451.24,0.00933257918552033,1344.33,-0.000423823332589945,0.019
"2012-02-07",455.96,0.010474815182016,1347.05,0.00202331272827361,0.0197
"2012-02-08",463.6,0.0167438090565877,1349.96,0.00216027615901426,0.0198
