Date,equity.precios.diarios,equity.retornos.diarios,market.precios.diarios,market.retornos.diarios,riskfree.retornos.diarios
03/01/2012,402.58,0.004469956,1277.06,0.014457525,0.0196
04/01/2012,404.75,0.005374122,1277.3,0.000187932,0.02
05/01/2012,409.24,0.011101974,1281.06,0.002943709,0.0199
06/01/2012,413.52,0.010453795,1277.81,-0.002536962,0.0196
09/01/2012,412.86,-0.001586174,1280.7,0.002261682,0.0196
10/01/2012,414.34,0.00358049,1292.08,0.008885766,0.0197
11/01/2012,413.67,-0.001630281,1292.48,0.000309578,0.019
12/01/2012,412.53,-0.002745237,1295.5,0.002336593,0.0193
13/01/2012,410.98,-0.003749496,1289.09,-0.004947897,0.0185
17/01/2012,415.77,0.011648127,1293.67,0.003552894,0.0185
18/01/2012,420.09,0.0103838,1308.04,0.011107933,0.019
19/01/2012,418.76,-0.003169351,1314.5,0.004938687,0.0197
20/01/2012,411.46,-0.017416715,1315.38,0.000669456,0.0203
23/01/2012,418.42,0.016916488,1316,0.000471347,0.0207
24/01/2012,411.57,-0.016377717,1314.65,-0.001025836,0.0206
25/01/2012,437.27,0.062439048,1326.06,0.008679116,0.0201
26/01/2012,435.28,-0.004544844,1318.43,-0.005753887,0.0193
27/01/2012,437.88,0.005960012,1316.33,-0.001592804,0.019
30/01/2012,443.49,0.012810767,1313.01,-0.002522164,0.0184
31/01/2012,446.88,0.007659875,1312.41,-0.000456965,0.018
01/02/2012,446.6,-0.000635296,1324.09,0.008899658,0.0185
02/02/2012,445.55,-0.002345514,1325.54,0.001095092,0.0183
03/02/2012,450.02,0.010019336,1344.9,0.014605368,0.0195
06/02/2012,454.21,0.009332579,1344.33,-0.000423823,0.019
07/02/2012,458.97,0.010474815,1347.05,0.002023313,0.0197
08/02/2012,466.66,0.016743809,1349.96,0.002160276,0.0198
09/02/2012,482.8,0.034593438,1351.95,0.001474118,0.0205
10/02/2012,483.05,0.000506925,1342.64,-0.006886349,0.0197
13/02/2012,492.03,0.01860484,1351.77,0.006800036,0.0199
14/02/2012,498.75,0.013649025,1350.5,-0.000939509,0.0192
15/02/2012,487.21,-0.023142151,1343.23,-0.005383191,0.0193
16/02/2012,491.65,0.009122511,1358.04,0.011025662,0.0199
17/02/2012,491.56,-0.000179208,1361.23,0.002348974,0.0201
21/02/2012,504.03,0.025352505,1362.21,0.000719937,0.0205
22/02/2012,502.25,-0.003515587,1357.66,-0.00334016,0.0201
23/02/2012,505.53,0.006529705,1363.46,0.004272056,0.0198
24/02/2012,511.43,0.011657855,1365.74,0.001672216,0.0198
27/02/2012,514.71,0.006412588,1367.59,0.001354577,0.0192
28/02/2012,524.15,0.018354382,1372.18,0.003356269,0.0193
29/02/2012,531.03,0.013130125,1365.68,-0.004736988,0.0198
01/03/2012,533.02,0.003742349,1374.09,0.006158104,0.0204
02/03/2012,533.72,0.00130402,1369.63,-0.003245784,0.0199
05/03/2012,521.95,-0.022047764,1364.33,-0.003869658,0.0201
06/03/2012,519.11,-0.005439268,1343.36,-0.015370182,0.0194
07/03/2012,519.53,0.000810923,1352.63,0.006900607,0.0197
08/03/2012,530.59,0.021293034,1365.91,0.00981791,0.0201
09/03/2012,533.71,0.005867267,1370.87,0.003631279,0.0204
12/03/2012,540.39,0.012528202,1371.09,0.000160482,0.0203
13/03/2012,556.16,0.029166667,1395.95,0.01813156,0.0211
14/03/2012,577.18,0.037810245,1394.28,-0.001196318,0.0227
15/03/2012,573.25,-0.006818413,1402.6,0.005967238,0.0228
16/03/2012,573.26,1.71E-05,1404.17,0.00111935,0.023
19/03/2012,588.46,0.026521167,1409.75,0.003973878,0.0238
20/03/2012,593.22,0.008085177,1405.52,-0.003000532,0.0237
21/03/2012,589.83,-0.005709948,1402.89,-0.001871194,0.0229
22/03/2012,586.74,-0.005244813,1392.78,-0.007206552,0.0228
23/03/2012,583.52,-0.005489372,1397.11,0.00310889,0.0224
26/03/2012,594.22,0.018337388,1416.51,0.013885807,0.0224
27/03/2012,601.56,0.012356256,1412.52,-0.002816782,0.0219
28/03/2012,604.63,0.005110012,1405.54,-0.004941523,0.022
29/03/2012,597.04,-0.01256436,1403.28,-0.001607923,0.0216
30/03/2012,586.94,-0.016905519,1408.47,0.003698478,0.0222
02/04/2012,605.62,0.031823868,1419.04,0.007504597,0.0219
03/04/2012,616.09,0.017280119,1413.38,-0.003988612,0.0228
04/04/2012,611.18,-0.007960974,1398.96,-0.010202493,0.0224
05/04/2012,620.36,0.015008569,1398.08,-0.000629039,0.0217
09/04/2012,622.85,0.004024113,1382.2,-0.011358434,0.0204
10/04/2012,615.23,-0.012244,1358.59,-0.017081464,0.0199
11/04/2012,613.03,-0.003564382,1368.71,0.007448899,0.0203
12/04/2012,609.68,-0.005477483,1387.57,0.013779398,0.0205
13/04/2012,592.5,-0.028164491,1370.26,-0.012475046,0.02
16/04/2012,567.93,-0.041471837,1369.57,-0.000503554,0.0197
17/04/2012,596.88,0.050971334,1390.78,0.015486613,0.0201
18/04/2012,595.55,-0.002230605,1385.14,-0.004055278,0.0198
19/04/2012,575.09,-0.034355788,1376.92,-0.005934418,0.0195
20/04/2012,560.93,-0.02461528,1378.53,0.001169276,0.0197
23/04/2012,559.68,-0.002233935,1366.94,-0.008407507,0.0193
24/04/2012,548.5,-0.019975512,1371.97,0.003679752,0.0196
25/04/2012,597.17,0.088741344,1390.69,0.013644613,0.0198
26/04/2012,594.92,-0.003770492,1399.98,0.006680137,0.0196
27/04/2012,590.32,-0.007734079,1403.36,0.00241432,0.0193
30/04/2012,571.7,-0.031542289,1397.91,-0.003883537,0.0191
01/05/2012,569.89,-0.003167917,1405.82,0.005658447,0.0196
02/05/2012,573.66,0.006613643,1402.31,-0.002496763,0.0192
03/05/2012,569.59,-0.007099218,1391.57,-0.007658792,0.0192
04/05/2012,553.37,-0.028479599,1369.1,-0.016147229,0.0188
07/05/2012,557.51,0.007483414,1369.58,0.000350595,0.0188
08/05/2012,556.23,-0.002282784,1363.72,-0.004278684,0.0184
09/05/2012,557.21,0.001760006,1354.58,-0.006702256,0.0184
10/05/2012,558.52,0.002354264,1357.99,0.002517385,0.0188
11/05/2012,554.79,-0.006678118,1353.39,-0.003387359,0.0184
14/05/2012,546.48,-0.014981207,1338.35,-0.011112835,0.0179
